user_id,user_age,user_age_group,user_gender,user_has_children,user_married,user_home_country,user_home_city,user_home_airport,user_origin_airport,user_sign_up_date,user_group_family_category,sessions_number,avg_page_clicks,avg_click_rate,avg_sessions_before_purchase,avg_session_duration_min,flight_booking_proportion,hotel_booking_proportion,total_hotel_bookings,total_flight_bookings,overall_booking_proportion,never_purchased_proportion,avg_booking_lead_time_days,avg_bargain_hunter_index,most_common_destination_country,most_common_trip_airline,most_common_motive,most_common_departure_day_of_week,most_common_departure_season,avg_trip_duration_days,avg_distance_km,most_common_international_status,avg_checked_bags,most_common_business_status,flight_discount_proportion,hotel_discount_proportion,avg_flight_discount_amount,avg_hotel_discount_amount,avg_trip_cost_after_discount_usd,total_trip_cost_after_discount_usd,avg_fare_per_seat,avg_saved_dollars,most_common_fare_category,avg_DS_per_km,avg_cost_per_km,most_common_hotel,most_common_hotel_brand,most_common_hotel_in_home_city,most_common_hotel_category,most_common_hotel_preference,most_common_airline_preference,has_canceled,outlier_cluster,cluster,cluster_name,assigned_perk,Global_Explorer_Pass,Inspiration_Starter_Pack,Exclusive_Savings,Day_Trip_Deal,Elite_Business_Concierge,Flexible_Explorer_Pack,Smart_Savings_Pack,cluster_probability,conversion_score_raw,conversion_score,perk,Premium_Frequent_Travelers,Premium_Traveler_Deal,Flexible_Traveler_Deal,traveler_group,cp_threshold_x,cp_threshold_y,cp_threshold,cluster_cp_threshold
23557,63,55-65,F,False,True,US,new york,LGA,,2021-07-22,No Flight,8,10.25,1.1875,3.0,0.25,0.0,0.25,2,0,0.25,0,7.0,0.0,CA,,Leisure,,,2.5,0.0,1,0.0,0.0,0.0,0.25,0.0,0.04375,254.0625,2032.5,0.0,0.0,No Flight,0.0,0.17725709372312984,Extended Stay  - calgary,Extended Stay,1,Budget,0,0,False,,1,Casual Occasional Travelers,Day_Trip_Deal,0,0,0,1,0,1,0,0.75,0.0625,0.0625,Free Flight with Hotel Stay,0,0,0,Domestic and Casual Travelers,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572
94883,50,45-54,F,False,True,US,kansas city,MCI,MCI,2022-02-07,Group (without children),8,9.125,1.25,5.0,0.875,0.25,0.25,2,4,0.25,0,6.5,0.0,CA,Delta Air Lines,Leisure,Monday,Spring,0.375,363.375,1,0.125,1.0,0.0,0.125,0.0,0.0125,91.56312499999999,732.5049999999999,69.063125,0.0,Standard,0.0,0.1892902826689004,Four Seasons - jacksonville,Four Seasons,0,Budget,0,0,False,,1,Casual Occasional Travelers,Day_Trip_Deal,0,0,0,1,0,1,0,0.75,0.041666666666666664,0.041666666666666664,General 5% Travel Discount,0,0,0,Domestic and Casual Travelers,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572
101486,50,45-54,F,True,True,US,tacoma,TCM,TCM,2022-02-17,Single,8,16.375,1.421875,5.0,1.25,0.125,0.25,2,2,0.25,0,9.0,0.0,GB,United Airlines,Family,Saturday,Summer,1.125,120.625,1,0.0,0.0,0.25,0.0,0.018750000000000003,0.0,240.23875,1921.91,23.73875,0.0,Standard,0.0,0.1967979274611399,Banyan Tree  - montreal,Banyan Tree,0,Business,0,0,False,,1,Casual Occasional Travelers,Day_Trip_Deal,0,0,0,1,0,1,0,0.75,0.041666666666666664,0.041666666666666664,General 5% Travel Discount,0,0,0,Domestic and Casual Travelers,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572
101961,42,35-44,F,False,True,US,boston,BOS,BOS,2022-02-17,Single,8,15.75,3.060267857142857,1.0,1.75,0.625,0.625,5,10,0.625,0,5.6,0.00020695833333333335,US,Air New Zealand,Leisure,Friday,Spring,3.0,826.0,1,0.25,0.0,0.25,0.125,0.037500000000000006,0.0125,504.46162499999997,4035.6929999999998,155.33249999999998,0.6208750000000001,Budget,0.0020695833333333334,0.18245349245460393,Accor - hamilton,Accor,0,Standard,0,0,False,,5,Local Day-Trippers,Premium_Traveler_Deal,0,0,0,0,0,0,0,0.375,0.3125,0.3125,General 5% Travel Discount,0,1,0,Business Travelers,0.4285714285714286,0.4285714285714286,0.4285714285714286,0.4285714285714286
106907,44,35-44,F,True,True,US,miami,TNT,,2022-02-24,No Flight,5,11.0,1.2,0.0,0.4,0.0,0.0,0,0,0.0,1,7.0,0.0,,,Family,,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Flight,0.0,0.17725709372312984,nan,nan,0,No Hotel,0,0,True,0.0,0,Digital Dreamers,Smart_Savings_Pack,0,1,0,0,0,0,1,1.0,0.0,0.0,20% Off First International Booking,0,0,0,Bargain and Price-Sensitive Travelers,1.0,1.0,1.0,1.0
118043,50,45-54,F,True,False,US,los angeles,LAX,,2022-03-10,No Flight,5,13.2,1.032142857142857,0.0,1.0,0.0,0.4,2,0,0.4,0,7.0,0.0,US,,Family,,,2.6,0.0,1,0.0,0.0,0.4,0.4,0.08,0.06,343.29,1716.45,0.0,0.0,No Flight,0.0,0.17725709372312984,Aman Resorts - jacksonville,Aman Resorts,0,Budget,0,0,False,2.0,1,Casual Occasional Travelers,Day_Trip_Deal,0,0,0,1,0,1,0,0.6,0.4,0.4,Free Flight with Hotel Stay,0,0,0,Domestic and Casual Travelers,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572
120851,50,45-54,F,True,True,US,santa ana,SNA,SNA,2022-03-13,Single,8,6.875,0.30357142857142855,6.0,0.25,0.125,0.125,1,2,0.125,0,7.0,0.0,GB,Delta Air Lines,Family,Saturday,Spring,1.5,281.25,1,0.0,0.0,0.25,0.0,0.056249999999999994,0.0,298.335,2386.68,48.085,0.0,Standard,0.0,0.1709688888888889,Best Western - edmonton,Best Western,0,Standard,0,0,False,,1,Casual Occasional Travelers,Day_Trip_Deal,0,0,0,1,0,1,0,0.875,0.017857142857142856,0.017857142857142856,Extra 10% Off Next Domestic Booking,0,0,0,Domestic and Casual Travelers,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572
125845,39,35-44,F,False,True,US,el paso,BIF,BIF,2022-03-19,Group (without children),8,13.375,1.8782242063492063,3.0,1.625,0.25,0.25,2,4,0.25,0,8.5,0.0004979919616151545,US,AirTran Airways,Leisure,Sunday,Summer,0.625,633.5,1,0.25,1.0,0.125,0.125,0.01875,0.00625,158.6814375,1269.4515,112.34125,6.6598125,Premium,0.003319946410767697,0.17728761950594982,Four Seasons - indianapolis,Four Seasons,0,Standard,0,0,False,1.0,3,Budget Savvy Travelers,Flexible_Traveler_Deal,0,0,1,0,1,0,0,0.75,0.0625,0.0625,Exclusive Flash Sale Access,0,0,1,General Travelers,0.625,0.625,0.625,0.625
133058,17,16-24,F,False,False,US,austin,AUS,AUS,2022-03-27,Single,8,9.125,0.7142857142857143,3.0,0.375,0.125,0.0,0,2,0.125,0,6.0,0.0,CA,United Airlines,Leisure,Sunday,Spring,0.5,338.5,1,0.0,0.0,0.0,0.125,0.0,0.00625,52.93875,423.51,52.93875,0.0,Premium,0.0,0.15639217134416544,nan,nan,0,No Hotel,0,0,False,,1,Casual Occasional Travelers,Day_Trip_Deal,0,0,0,1,0,1,0,0.875,0.03125,0.03125,Extra 10% Off Next Domestic Booking,0,0,0,Domestic and Casual Travelers,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572
149058,49,45-54,F,True,False,US,birmingham,BHM,BHM,2022-04-14,Single,8,17.75,2.1937003968253967,0.0,2.0,0.625,0.625,5,10,0.625,0,5.8,5.4331090328467164e-05,US,Alaska Airlines,Family,Thursday,Winter,4.125,1190.5,1,0.25,1.0,0.125,0.0,0.00625,0.0,942.5065625,7540.0525,210.1975,1.1909375000000002,Standard,0.0010866218065693433,0.17573037875995745,Accor - los angeles,Accor,0,Budget,0,0,False,,5,Local Day-Trippers,Premium_Traveler_Deal,0,0,0,0,0,0,0,0.375,0.625,0.625,General 5% Travel Discount,0,1,0,Business Travelers,0.4285714285714286,0.4285714285714286,0.4285714285714286,0.4285714285714286
